ELITE DANGEROUS LEGACY CONSOLE - MATERIAL TRADERS

Snapshot: EDDB stations, 22 August 2022
Legacy-compatible entries: 1,634
Raw: 677 | Manufactured: 539 | Encoded: 418
Distances are straight-line light-years from Sol.

+-------------+-----------------------------+--------------------------------+--------------+
| Sol distance | System                      | Station                        | Trader type  |
+-------------+-----------------------------+--------------------------------+--------------+
|        8.59 | Sirius                      | Patterson Enterprise           | Raw          |
|       11.10 | EZ Aquarii                  | Magnus Gateway                 | Encoded      |
|       11.37 | 61 Cygni                    | Broglie Terminal               | Manufactured |
|       12.07 | YZ Ceti                     | Clement Orbital                | Encoded      |
|       13.08 | Kruger 60                   | Kepler Gateway                 | Encoded      |
|       13.85 | LHS 380                     | Qureshi Orbital                | Raw          |
|       15.39 | V1581 Cygni                 | Peary Dock                     | Manufactured |
|       19.09 | Bhritzameno                 | Feynman Terminal               | Encoded      |
|       19.71 | 82 Eridani                  | Bresnik Port                   | Manufactured |
|       19.93 | Delta Pavonis               | Hooper Relay                   | Raw          |
|       20.13 | Struve 1321                 | Apt Station                    | Manufactured |
|       20.19 | EQ Pegasi                   | Merbold Ring                   | Encoded      |
|       20.24 | LTT 3572                    | Horowitz Hub                   | Manufactured |
|       20.62 | Saktsak                     | Bursch Enterprise              | Encoded      |
|       21.54 | Gommat                      | Cayley Dock                    | Manufactured |
|       21.87 | Carener                     | Butz Port                      | Encoded      |
|       22.18 | LHS 3836                    | Gell-Mann Station              | Manufactured |
|       24.57 | Haghole                     | Messerschmid City              | Manufactured |
|       24.59 | George Pantazis             | Zamka Platform                 | Raw          |
|       24.94 | Ross 490                    | Dunyach Enterprise             | Encoded      |
|       26.32 | Tabit                       | Haber City                     | Manufactured |
|       26.80 | LHS 3885                    | Alvarado Ring                  | Encoded      |
|       28.41 | LHS 200                     | Tsunenaga Port                 | Manufactured |
|       28.69 | WISE 1800+0134              | Underwood Dock                 | Manufactured |
|       28.85 | Ross 695                    | Bresnik Orbital                | Encoded      |
|       28.93 | LHS 2429                    | Acaba Dock                     | Manufactured |
|       28.94 | Nanomam                     | Gresley Dock                   | Encoded      |
|       29.05 | V374 Pegasi                 | MacKellar Hub                  | Raw          |
|       29.10 | LHS 235                     | Shatalov Gateway               | Encoded      |
|       29.87 | Hyroks                      | Watson Horizons                | Encoded      |
|       30.27 | LHS 1339                    | Bosch City                     | Manufactured |
|       30.27 | Ross 33                     | Crown City                     | Manufactured |
|       30.59 | LHS 215                     | Spring Gateway                 | Encoded      |
|       32.30 | LFT 69                      | Anning Enterprise              | Encoded      |
|       32.59 | L 26-27                     | McCoy City                     | Manufactured |
|       32.84 | LHS 115                     | Aleksandrov Gateway            | Encoded      |
|       32.97 | Slink's Eye                 | Kelleam Ring                   | Manufactured |
|       33.06 | Mombaluma                   | Leavitt Orbital                | Manufactured |
|       33.10 | LB 3303                     | Poindexter Horizons            | Manufactured |
|       33.18 | Tollan                      | Gordon Plant                   | Manufactured |
|       33.65 | LHS 1446                    | Blalock Orbital                | Encoded      |
|       33.73 | LHS 262                     | Boodt Port                     | Encoded      |
|       33.99 | LHS 54                      | Nelson Dock                    | Manufactured |
