System Name                | Body / Ring | Ring Type | Reserve  | Alexandrite | Benitoite | Monazite | Musgravite | Serendibite | Stack                                   
---------------------------+-------------+-----------+----------+-------------+-----------+----------+------------+-------------+---------------------------------------------------
Puppis Sector DL-Y d106    | 1 A         | Rocky     | Pristine | 3           | 4         | 2        | 6          | 3           |                                                   
Genetrix                   | 3 A         | Rocky     | Pristine | 2           | 1         | 3        | 4          | 2           |                                                   
Honoto                     | 1 A         | Rocky     | Pristine | 2           | 3         | 4        | 4          | 3           |                                                   
Algol                      | A 1 B       | Rocky     | Pristine | 6           | 3         | 8        | 9          | 6           | 3x Musgravite overlap                             
Elska                      | 2 B         | Rocky     | Pristine | 3           | 3         | 2        | 4          | 1           |                                                   
LTT 15225                  | 11 A        | Rocky     | Pristine | 1           | 0         | 3        | 4          | 2           |                                                   
Gungnir                    | 3 A         | Rocky     | Pristine | 1           | 2         | 0        | 4          | 2           |                                                   
GCRV 375                   | 2 B         | Rocky     | Pristine | 4           | 5         | 1        | 5          | 1           | 2x Musgravite overlap                             
LTT 2963                   | A 1 B       | Rocky     | Pristine | 0           | 2         | 2        | 4          | 1           |                                                   
HR 913                     | ABC 6 A     | Rocky     | Pristine | 4           | 2         | 6        | 5          | 5           |                                                   
HR 913                     | ABC 7 A     | Rocky     | Pristine | 0           | 1         | 1        | 4          | 0           |                                                   
Vindinepu                  | 4 A         | Rocky     | Pristine | 1           | 2         | 3        | 4          | 0           |                                                   
Polahukuna                 | A 1 B       | Rocky     | Pristine | 1           | 0         | 0        | 4          | 1           |                                                   
Polahukuna                 | A 2 B       | Rocky     | Pristine | 6           | 2         | 3        | 6          | 4           |                                                   
Lamia                      | B 5 A       | Rocky     | Pristine | 4           | 6         | 2        | 5          | 5           |                                                   
Col 285 Sector ZB-R b19-3  | 2 A         | Rocky     | Pristine | 1           | 3         | 4        | 8          | 3           |                                                   
BD+13 693                  | 1 A         | Rocky     | Pristine | 1           | 1         | 4        | 4          | 0           |                                                   
Chapo                      | AB 3 A      | Rocky     | Pristine | 6           | 8         | 7        | 4          | 5           |                                                   
Col 285 Sector OS-T d3-148 | 3 B         | Rocky     | Pristine | 3           | 0         | 4        | 6          | 4           |                                                   
Ceti Sector WJ-Z b0        | A 1 A       | Rocky     | Pristine | 2           | 3         | 2        | 4          | 4           |                                                   
HIP 36512                  | ABCDE 3 e A | Rocky     | Pristine | 1           | 5         | 3        | 4          | 1           |                                                   
Gliese 488.2               | A 2 A       | Rocky     | Pristine | 1           | 1         | 1        | 4          | 2           |                                                   
Shokwakw                   | 2 A         | Rocky     | Pristine | 4           | 2         | 2        | 7          | 4           |                                                   
LTT 4262                   | A 10 A      | Rocky     | Pristine | 0           | 3         | 6        | 4          | 2           |                                                   
Misthaka                   | AB 4 A      | Rocky     | Pristine | 5           | 2         | 1        | 5          | 4           |                                                   
Alowis                     | 2 A         | Rocky     | Pristine | 2           | 4         | 7        | 4          | 4           |                                                   
Hyades Sector QD-S c4-14   | CD 9 A      | Rocky     | Pristine | 3           | 5         | 4        | 6          | 8           |                                                   
Col 285 Sector TV-Z b15-3  | 7 A         | Rocky     | Pristine | 2           | 1         | 0        | 5          | 1           |                                                   
Iota Trianguli Australis   | B 2 B       | Rocky     | Pristine | 2           | 2         | 2        | 4          | 1           |                                                   
Jeirskoku                  | 3 A         | Rocky     | Pristine | 4           | 2         | 4        | 5          | 5           |                                                   
